school,testoptional?,appliestoclassyear(s),numberofapplicants,sat25,sat75,accept_rate
George Mason University,Yes,All / Permanent Policy,19554,1110.0,1320.0,0.867
Old Dominion,Yes,All / Permanent Policy,13335,990.0,1200.0,0.87
Missouri State,Yes*,2021,7581,1040.0,1240.0,0.879
University of Wisconsin Milwaukee,Yes,2021,8280,1000.0,1398.0,0.885
Transylvania University,Yes,All / Permanent Policy,1702,1100.0,1310.0,0.887
Weber State,Yes,All / Permanent Policy,6853,,,0.8909999999999999
University of Maine,Yes,2021 2022,13118,1050.0,1260.0,0.902
Humboldt State University,Yes (TB),2021,16335,980.0,1190.0,0.909
Utah State,Yes,2021,15276,1050.0,1310.0,0.91
Iowa State University,Yes,2021,18246,1100.0,1340.0,0.9209999999999999
Washington College,Yes,All / Permanent Policy,2225,1090.0,1300.0,0.924
University of Montana,Yes,2021,6182,1060.0,1270.0,0.9259999999999999
Samford University,Yes,2021,3912,1070.0,1250.0,0.929
University of Kansas,Yes*,All / Permanent Policy,15093,,,0.9309999999999999
University of Kentucky,Yes,2021,19324,1080.0,1300.0,0.945
University of Toledo,Yes,All / Permanent Policy,10228,1000.0,1240.0,0.951
Kansas State University,Yes*,All / Permanent Policy,8140,,,0.9570000000000001
Portland State,Yes,All / Permanent Policy,7821,1010.0,1230.0,0.961
Queens University of Charlotte,Yes,All / Permanent Policy,2319,1040.0,1240.0,0.9620000000000001
Western Kentucky,Yes*,All / Permanent Policy,8245,990.0,1220.0,0.973
United States Naval Academy,No,,16332,1240.0,1520.0,0.083
United States Military Academy,No,,11675,1160.0,1380.0,0.10300000000000001
United States Air Force Academy,No,,10354,1230.0,1440.0,0.111
United States Coast Guard Academy,No,,2274,1245.0,1420.0,0.128
United States Merchant Maritime Academy,No,,1693,1200.0,1340.0,0.248
Howard University,No,,20946,1140.0,1285.0,0.316
Florida State University,No,,58936,1200.0,1340.0,0.36
Hillsdale College,No,,2208,1275.0,1465.0,0.36
University of Central Florida,No,,35240,1160.0,1340.0,0.382
University of Florida,No,,38905,1280.0,1440.0,0.38799999999999996
University of South Florida,No,,36986,1170.0,1330.0,0.47700000000000004
Gallaudet University,No,,496,793.0,1078.0,0.5710000000000001
Florida International,No,,18492,1240.0,1300.0,0.575
Morehouse College,No,,3554,1010.0,1210.0,0.579
University of Alabama,No,,37302,1060.0,1280.0,0.591
Milwaukee School of Engineering,No,,3552,,,0.617
Florida Institute of Technology,No,,9743,1150.0,1360.0,0.657
Louisiana State University—​Baton Rouge,No,,24501,1080.0,1310.0,0.746
The Citadel,No,,2742,1050.0,1230.0,0.747
New College of Florida,No,,1340,1220.0,1420.0,0.768
Thomas Aquinas College,No,,211,1220.0,1400.0,0.777
University of Texas Rio Grande Valley,No,,10680,950.0,1130.0,0.7979999999999999
University of South Dakota,No,,4434,990.0,1180.0,0.8640000000000001
University of Mississippi,No,,15371,1050.0,1270.0,0.8809999999999999
University of Wyoming,No,,5348,1060.0,1280.0,0.96
University of Texas El Paso,No,,7157,820.0,1050.0,0.9990000000000001
