school,testoptional?,appliestoclassyear(s),numberofapplicants,sat25,sat75,accept_rate
Bucknell University,Yes,2021 2022 2023 2024 2025,9845,1255.0,1430.0,0.342
Emerson College,Yes,All / Permanent Policy,12941,1200.0,1390.0,0.35600000000000004
Pepperdine University,Yes,2021,11265,1220.0,1420.0,0.35700000000000004
Hampton University,Yes*,All / Permanent Policy,13028,1040.0,1310.0,0.36
Oberlin College,Yes,2021 2022 2023,7708,1280.0,1480.0,0.364
CUNY--Hunter,Yes (TB),2021,31030,1090.0,1260.0,0.364
Occidental College,Yes,2021,7501,1300.0,1480.0,0.36700000000000005
Connecticut College,Yes,All / Permanent Policy,6784,1310.0,1450.0,0.374
College of William and Mary,Yes,2021 2022 2023,14680,1320.0,1510.0,0.377
Mount Holyoke College,Yes,All / Permanent Policy,3908,1270.0,1490.0,0.382
Berea College,Yes,2021,1576,1030.0,1213.0,0.382
Pratt Institute,Yes,2021,7941,1100.0,1320.0,0.385
Soka University of America,Yes,2021,464,1180.0,1410.0,0.38799999999999996
California State University--Los Angeles,Yes (TB),2021,39854,890.0,1080.0,0.39
California State University--Long Beach,Yes (TB),2021,71297,1040.0,1250.0,0.39299999999999996
Reed College,Yes (TB),2021 2022,5815,1325.0,1520.0,0.395
Binghamton University—​SUNY,Yes,2021,38755,1310.0,1440.0,0.39799999999999996
Dickinson College,Yes,All / Permanent Policy,6426,1240.0,1410.0,0.401
University of Tulsa,Yes,2021,8526,1180.0,1410.0,0.408
George Washington University,Yes,All / Permanent Policy,26968,1280.0,1470.0,0.409
University of California—​Davis,Yes,2021 2022 2023 2024,76647,1150.0,1410.0,0.41200000000000003
Stevens Institute of Technology,Yes,2021,9265,1330.0,1480.0,0.414
St. Lawrence University,Yes,All / Permanent Policy,6998,1160.0,1350.0,0.424
Union College (Schenectady NY),Yes,All / Permanent Policy,6086,1220.0,1420.0,0.429
Rensselaer Polytechnic Institute,Yes,2021,20402,1330.0,1500.0,0.43
Bentley University,Yes,2021,9252,1240.0,1410.0,0.43200000000000005
CUNY--Baruch College,Yes (TB),2021,20303,1130.0,1330.0,0.434
Spelman College,Yes,2021,9106,1080.0,1230.0,0.434
Loyola Marymount University,Yes,2021,18592,1230.0,1410.0,0.43799999999999994
University of Maryland—​College Park,Yes,2021,32987,1280.0,1480.0,0.441
Stony Brook University—​SUNY,Yes,2021,37079,1230.0,1440.0,0.441
Rhodes College,Yes,2021 2022 2023,5207,1220.0,1430.0,0.447
North Carolina State University—​Raleigh,Yes,2021,30995,1250.0,1390.0,0.449
Baylor University,Yes,2021,34582,1200.0,1380.0,0.45299999999999996
University of Dallas,Yes,2021,4676,1150.0,1360.0,0.45299999999999996
Gettysburg College,Yes,All / Permanent Policy,6269,1270.0,1420.0,0.45399999999999996
Fordham University,Yes,2021 2022,46308,1250.0,1430.0,0.46
Texas Christian University,Yes,2021,19028,1150.0,1350.0,0.47100000000000003
Southern Methodist University,Yes,2021,13959,1300.0,1480.0,0.473
Providence College,Yes,All / Permanent Policy,11478,1210.0,1350.0,0.475
St. Olaf College,Yes,All / Permanent Policy,5694,1190.0,1430.0,0.475
University of New Mexico,Yes,All / Permanent Policy,12281,1040.0,1270.0,0.486
University of Georgia,Yes,2021,26027,1240.0,1410.0,0.486
University of San Diego,Yes,All / Permanent Policy,13755,1200.0,1350.0,0.48700000000000004
University of Connecticut,Yes,2021 2022 2023,34886,1210.0,1420.0,0.488
Santa Clara University,Yes,2021 2022,16300,1280.0,1440.0,0.488
Southwestern University,Yes,All / Permanent Policy,4766,1140.0,1320.0,0.49
Pennsylvania State University—​University Park,Yes,2021,71903,1160.0,1370.0,0.491
Marist College,Yes,All / Permanent Policy,11260,1210.0,1360.0,0.49200000000000005
The College of New Jersey,Yes,2021 2022 2023,13824,1160.0,1360.0,0.493
Worcester Polytechnic Institute,Yes,All / Permanent Policy,10645,1310.0,1470.0,0.494
Syracuse University,Yes,2021,34981,1180.0,1370.0,0.499
University of La Verne,Yes,All / Permanent Policy,7276,1020.0,1205.0,0.509
Clemson University,Yes,2021,29070,1230.0,1400.0,0.513
Austin College,Yes,All / Permanent Policy,4360,1110.0,1290.0,0.513
University of California—​Santa Cruz,Yes (TB),2021 2022 2023 2024,55906,1200.0,1360.0,0.515
University of Washington--Seattle,Yes,All / Permanent Policy,45579,1240.0,1440.0,0.518
California State University--Fullerton,Yes (TB),2021,50105,1030.0,1200.0,0.527
University of Wisconsin—​Madison,Yes,2021 2022,43921,1330.0,1450.0,0.53
Colorado School of Mines,Yes,2021,11756,1260.0,1460.0,0.531
Chapman University,Yes,All / Permanent Policy,14198,1190.0,1370.0,0.536
Ohio State University—​Columbus,Yes,2021,47703,1250.0,1460.0,0.537
Texas Lutheran University,Yes,2021,2198,990.0,1160.0,0.5429999999999999
University at Albany—​SUNY,Yes,2021,27529,1090.0,1250.0,0.5429999999999999
Georgia Southern,Yes,2021,13858,1050.0,1200.0,0.545
College of Wooster,Yes,All / Permanent Policy,6352,1150.0,1380.0,0.547
San Jose State University,Yes (TB),2021,36243,1040.0,1260.0,0.547
California State Polytechnic University--Pomona,Yes (TB),2021,36660,1030.0,1250.0,0.555
Whitman College,Yes,All / Permanent Policy,4832,1240.0,1450.0,0.5579999999999999
Sarah Lawrence College,Yes,All / Permanent Policy,3325,1240.0,1420.0,0.5579999999999999
New School,Yes,All / Permanent Policy,9911,1150.0,1360.0,0.5660000000000001
University of Pittsburgh,Yes,2021,32091,1260.0,1440.0,0.5670000000000001
University of California Riverside,Yes,2021 2022 2023 2024,49788,1130.0,1340.0,0.5670000000000001
University of Minnesota—​Twin Cities,Yes,2021,40673,1260.0,1480.0,0.5670000000000001
Hobart and William Smith Colleges,Yes,All / Permanent Policy,4526,1203.0,1360.0,0.569
Abilene Christian University,Yes,2021,11569,1040.0,1230.0,0.57
Bennington College,Yes,All / Permanent Policy,1494,1230.0,1390.0,0.57
Birmingham-​Southern College,Yes,All / Permanent Policy,3628,1040.0,1250.0,0.57
Fairfield University,Yes,All / Permanent Policy,12315,1210.0,1350.0,0.5710000000000001
Georgia State,Yes,2021,19838,990.0,1190.0,0.574
Texas A&M University—​College Station,Yes,2021,42899,1160.0,1390.0,0.575
Saint Louis University,Yes,2021,15120,1180.0,1370.0,0.575
St. John's College Annapolis,Yes,All / Permanent Policy,913,1210.0,1450.0,0.5760000000000001
Lake Forest College,Yes,All / Permanent Policy,4147,1110.0,1310.0,0.579
Kennesaw State University,Yes,2021,13427,1080.0,1270.0,0.579
California State University--Fresno,Yes (TB),2021,18122,950.0,1130.0,0.579
Rollins College,Yes,All / Permanent Policy,6167,1160.0,1340.0,0.583
University of Hawaii at Manoa,Yes,2021,16244,1070.0,1270.0,0.584
University of Denver,Yes,All / Permanent Policy,21028,1170.0,1350.0,0.5870000000000001
Hampden-​Sydney College,Yes,2021,3240,1050.0,1250.0,0.59
University of Illinois—​Urbana-​Champaign,Yes,2021,43509,1220.0,1480.0,0.59
Millsaps College,Yes,2021,4161,1080.0,1260.0,0.593
California State University--Northridge,Yes (TB),2021,30637,910.0,1130.0,0.593
Clark University,Yes,All / Permanent Policy,7687,1200.0,1390.0,0.594
Lipscomb University,Yes,2021,3638,1060.0,1320.0,0.595
Virginia Military Institute,Yes,2021,1515,1090.0,1270.0,0.595
Purdue University—​West Lafayette,Yes (TF),2021,54912,1190.0,1440.0,0.598
Temple University,Yes,All / Permanent Policy,35599,1120.0,1320.0,0.6
Rutgers The State University of New Jersey—​New Brunswick,Yes,2021,41348,1190.0,1410.0,0.601
Illinois Institute of Technology,Yes,2021,5049,1190.0,1400.0,0.602
